,DVb,CMb,CMf,RRF,DVf
朴子,50.91304347826087,29.23367691040039,29.630115509033203,1.0136,51.6055
嘉義,58.125,32.81492614746094,32.61102294921875,0.9938,57.7646
新營,48.0,32.430755615234375,32.49573516845703,1.002,48.096
善化,49.166666666666664,31.409255981445312,31.270030975341797,0.9956,48.9503
安南,57.041666666666664,31.603668212890625,31.36415672302246,0.9924,56.6082
台南,48.61904761904762,32.745662689208984,32.347076416015625,0.9878,48.0259
美濃,31.958333333333332,25.324268341064453,25.04574966430664,0.989,31.6068
橋頭,57.291666666666664,29.80550765991211,28.946178436279297,0.9712,55.6417
仁武,50.583333333333336,31.305370330810547,29.956073760986328,0.9569,48.4032
大寮,50.0,29.98921775817871,28.082101821899414,0.9364,46.82
林園,45.208333333333336,31.106740951538086,28.8387393951416,0.9271,41.9126
楠梓,53.291666666666664,30.563098907470703,29.70230484008789,0.9718,51.7888
左營,49.916666666666664,30.49203109741211,29.529376983642578,0.9684,48.3393
前金,53.916666666666664,31.43484115600586,30.33805274963379,0.9651,52.035
前鎮,51.666666666666664,33.450477600097656,31.722713470458984,0.9483,48.9955
小港,40.791666666666664,38.4683837890625,36.20228958129883,0.9411,38.389
屏東,45.875,28.26064109802246,27.733739852905273,0.9814,45.0217
潮州,46.08695652173913,30.524682998657227,29.168426513671875,0.9556,44.0407
恆春,19.26086956521739,11.575063705444336,11.519231796264648,0.9952,19.1684
