縣市,經度,緯度,最大小時平均值差值(ppb),背景模擬濃度(ppb),增量後模擬濃度(ppb)
台北市,121.55676,25.00576,0.002958059310913086,2.12,2.12
新北市,121.37088,24.92379,0.024666309356689453,0.67,0.7
桃園市,121.30896,24.896416,0.03282356262207031,1.28,1.31
台中市,120.72015,24.285881,0.02087259292602539,0.74,0.76
台南市,120.10632,23.198448,0.009746789932250977,2.65,2.66
高雄市,120.71298,23.05716,0.0059049129486083984,0.81,0.82
基隆市,121.74371,25.14338,0.015610694885253906,12.59,12.61
新竹市,120.90753,24.759735,0.07498025894165039,4.21,4.29
嘉義市,120.41098,23.477135,0.004171609878540039,3.12,3.13
新竹縣,120.93811,24.731613,0.06737613677978516,3.09,3.15
苗栗縣,120.87637,24.70404,0.32929468154907227,3.7,4.03
彰化縣,120.38193,23.924019,0.015646934509277344,1.33,1.34
南投縣,120.65735,24.006844,0.010187864303588867,2.52,2.53
雲林縣,120.3815,23.7844,0.012028694152832031,1.46,1.47
嘉義縣,120.3808,23.56099,0.006373286247253418,1.49,1.5
屏東縣,120.5282,22.416046,0.007411479949951172,1.76,1.77
宜蘭縣,121.82745,24.555634,0.005396321415901184,0.23,0.23
花蓮縣,121.44733,23.582253,0.009899795055389404,0.46,0.47
台東縣,120.801636,22.693848,0.0040198564529418945,0.18,0.18
基隆,121.7601,25.12917,0.0048007965087890625,1.22,1.22
汐止,121.6408,25.06567,0.00429534912109375,4.36,4.37
萬里,121.6899,25.17967,0.0011627674102783203,0.99,0.99
新店,121.5378,24.97722,0.0056372880935668945,1.32,1.32
土城,121.4519,24.98253,0.0069522857666015625,1.51,1.52
板橋,121.4587,25.01297,0.004128694534301758,2.27,2.27
新莊,121.4325,25.03797,0.007984638214111328,1.48,1.49
菜寮,121.481,25.06895,0.003229856491088867,2.43,2.44
林口,121.3657,25.07857,0.005814552307128906,3.7,3.71
淡水,121.4492,25.1645,0.0023500919342041016,2.98,2.98
