,MB,MNB,MNE,R
竹東,0.309,0.22,0.229,0.566
新竹,0.178,0.101,0.157,0.457
頭份,0.172,0.084,0.163,0.554
苗栗,0.269,0.216,0.223,0.555
三義,0.096,0.065,0.128,0.636
豐原,0.196,0.218,0.233,0.603
沙鹿,0.102,-0.002,0.124,0.64
大里,0.128,0.153,0.175,0.647
忠明,0.101,0.095,0.135,0.634
西屯,0.098,0.072,0.131,0.612
彰化,0.083,0.055,0.138,0.505
線西,0.059,-0.033,0.156,0.417
二林,0.228,0.146,0.166,0.578
南投,0.334,0.343,0.349,0.487
斗六,0.013,0.06,0.168,0.372
崙背,0.063,0.034,0.115,0.684
新港,0.136,0.139,0.165,0.676
朴子,0.077,0.086,0.138,0.646
台西,-0.067,-0.115,0.16,0.528
嘉義,0.06,0.117,0.168,0.518
竹山,0.039,0.116,0.164,0.626
埔里,0.144,0.229,0.26,0.625
overal,0.113,0.075,0.166,0.546
Criteria,-0.1/0.1,-0.15/0.15,0.0/0.35,0.45
合格率,45%,72%,100%,90%
合格站數,10,16,22,20
