,MFB,MFE,R
朴子,-0.331,0.394,0.581
嘉義,-0.271,0.363,0.666
新營,-0.321,0.397,0.575
善化,-0.327,0.376,0.653
安南,-0.24,0.33,0.581
台南,-0.267,0.356,0.579
美濃,-0.034,0.279,0.35
橋頭,-0.389,0.42,0.595
仁武,-0.301,0.356,0.516
大寮,-0.305,0.376,0.38
林園,-0.189,0.326,0.291
楠梓,-0.44,0.452,0.591
左營,-0.158,0.301,0.525
前金,-0.333,0.379,0.54
前鎮,-0.209,0.325,0.375
小港,-0.038,0.255,0.303
屏東,-0.225,0.324,0.287
潮州,-0.075,0.28,0.262
恆春,-0.571,0.691,0.776
overal,-0.264,0.367,0.611
Criteria,-0.35/0.35,0/0.55,0.5
合格率,84%,94%,63%
合格站數,16,18,12
