,T2_MBE,T2_MAGE,WS_MBE,WS_RMSE,WD_WNMB,WD_WNME
鞍部,0.0,0.25,1.6,2.2,-7.27%,16.83%
淡水,-0.69,0.82,0.8,1.32,-0.39%,7.44%
竹子湖,-0.15,0.47,0.89,1.58,0.21%,7.34%
基隆,-1.07,1.15,0.61,1.16,1.09%,4.69%
台北,-1.22,1.31,1.01,1.52,-3.25%,6.8%
新屋,-0.18,0.47,0.29,0.78,-0.58%,2.96%
板橋,-1.03,1.14,0.85,1.28,0.71%,5.7%
新竹,-0.24,0.66,1.25,1.68,1.63%,4.29%
宜蘭,-1.02,1.07,0.22,0.77,0.18%,10.15%
蘇澳,-0.81,0.93,0.13,0.79,0.32%,8.25%
梧棲,0.35,0.51,0.13,0.6,7.85%,9.52%
台中,0.08,0.5,0.89,1.22,3.38%,6.37%
花蓮,-1.14,1.2,0.05,0.8,-0.61%,10.36%
日月潭,-0.81,1.27,0.01,0.69,-0.64%,9.74%
阿里山,-0.18,1.06,-0.05,0.38,-3.0%,9.58%
嘉義,0.73,1.03,0.97,1.31,-1.35%,4.89%
玉山,-0.08,0.76,-1.85,2.87,-19.74%,22.38%
成功,-0.96,1.13,0.08,0.77,2.3%,5.36%
永康,1.03,1.19,0.8,1.22,1.23%,3.16%
台南,0.24,0.59,0.58,1.09,3.76%,4.88%
台東,-0.81,0.89,0.41,0.96,0.94%,7.67%
高雄,-0.18,0.41,0.34,0.7,-3.56%,5.32%
大武,-1.39,1.55,0.31,0.83,1.5%,7.5%
恆春,-1.4,1.42,0.72,1.48,2.29%,5.99%
overal,-0.45,0.91,0.46,1.28,-0.53%,7.79%
Criteria,1.5/-1.5,3,1.5/-1.5,3,10.0%/-10.0%,30%
合格率,100.0%,100.0%,92.0%,100.0%,95.8%,100.0%
合格站數,24,24,22,24,23,24
